filename,column,normalized_column,inferred_dtype,missing_count,blank_string_count,missing_pct,unique_count,unique_count_source,is_candidate_key,numeric_min,numeric_max,numeric_mean,numeric_median,numeric_median_source,numeric_std,negative_count,zero_count,date_min,date_max,date_parsed_count,date_failed_count,example_values
blinkit_dataset.csv,product_id,product_id,numeric,0,0,0.0,13000.0,exact_non_null,True,1.0,13000.0,6500.5,6500.5,exact_from_collected,3752.7767386296778,0.0,0.0,,,,,1|2|3|4|5
blinkit_dataset.csv,product_name,product_name,categorical,0,0,0.0,12617.0,exact_non_null,False,,,,,,,,,,,,,Tata Organic Grocery 300|Mother Dairy Lite Dairy 275|P&G Classic Personal 439|Dettol Fresh Household 771|Minute Maid Daily Beverages 264
blinkit_dataset.csv,category,category,categorical,0,0,0.0,8.0,exact_non_null,False,,,,,,,,,,,,,Grocery|Dairy|Personal Care|Household|Beverages
blinkit_dataset.csv,brand,brand,categorical,0,0,0.0,28.0,exact_if_low_card_else_lower_bound,False,,,,,,,,,,,,,Tata|Mother Dairy|P&G|Dettol|Minute Maid
blinkit_dataset.csv,price,price,numeric,0,0,0.0,,n/a,False,10.18,999.93,267.3033561538475,220.24,exact_from_collected,199.6574685864752,0.0,0.0,,,,,199.78|44.32|501.13|627.17|101.69
blinkit_dataset.csv,discount_pct,discount_pct,numeric,0,0,0.0,,n/a,False,0.0,30.0,9.959230769230736,10.0,exact_from_collected,8.574687221511097,0.0,3292.0,,,,,25|30|0|15|5
blinkit_dataset.csv,final_price,final_price,numeric,0,0,0.0,,n/a,False,8.14,998.92,240.7352115384605,197.185,exact_from_collected,182.39853649754843,0.0,0.0,,,,,149.84|31.02|501.13|627.17|86.44
blinkit_dataset.csv,rating,rating,numeric,0,0,0.0,,n/a,False,2.5,5.0,4.196930769230771,4.2,exact_from_collected,0.475844798364109,0.0,0.0,,,,,4.5|4.0|3.7|3.9|4.3
blinkit_dataset.csv,num_reviews,num_reviews,numeric,0,0,0.0,,n/a,False,1.0,1050.0,255.00030769230713,219.0,exact_from_collected,152.92763044574878,0.0,0.0,,,,,146|264|69|103|422
blinkit_dataset.csv,delivery_time_min,delivery_time_min,numeric,0,0,0.0,,n/a,False,10.0,56.0,27.55876923076921,27.0,exact_from_collected,7.138784104117948,0.0,0.0,,,,,37|36|17|23|10
blinkit_dataset.csv,city,city,categorical,0,0,0.0,10.0,exact_if_low_card_else_lower_bound,False,,,,,,,,,,,,,Bengaluru|Jaipur|Chennai|Delhi|Pune
blinkit_dataset.csv,seller,seller,categorical,0,0,0.0,6.0,exact_if_low_card_else_lower_bound,False,,,,,,,,,,,,,UrbanSeller|QuickStores|LocalMart
blinkit_dataset.csv,stock,stock,numeric,0,0,0.0,,n/a,False,52.0,169.0,110.14053846153844,110.0,exact_from_collected,19.588383991599887,0.0,0.0,,,,,76|122|126|92|152
blinkit_dataset.csv,sold_quantity,sold_quantity,numeric,0,0,0.0,,n/a,False,0.0,720.0,162.40007692307694,120.0,exact_from_collected,132.7373190234481,0.0,47.0,,,,,241|28|583|33|48
blinkit_dataset.csv,profit_margin_pct,profit_margin_pct,numeric,0,0,0.0,,n/a,False,5.0,40.0,22.652707692307764,22.9,exact_from_collected,10.088000658395462,0.0,0.0,,,,,29.8|15.2|6.6|36.8|14.5
blinkit_dataset.csv,is_organic,is_organic,categorical,0,0,0.0,2.0,exact_if_low_card_else_lower_bound,False,,,,,,,,,,,,,True|False
blinkit_dataset.csv,packaging_type,packaging_type,categorical,0,0,0.0,6.0,exact_if_low_card_else_lower_bound,False,,,,,,,,,,,,,Can|Jar|Bottle
blinkit_dataset.csv,weight_g,weight_g,numeric,0,0,0.0,,n/a,False,100.0,2000.0,536.1307692307693,400.0,exact_from_collected,406.9817967666466,0.0,0.0,,,,,750|1000|200|300|500
blinkit_dataset.csv,shelf_life_days,shelf_life_days,numeric,0,0,0.0,,n/a,False,2.0,1825.0,397.5553846153848,231.0,exact_from_collected,483.52161944529985,0.0,0.0,,,,,212|17|1463|1143|363
blinkit_dataset.csv,reorder_level,reorder_level,numeric,0,0,0.0,,n/a,False,10.0,33.0,21.627769230769303,22.0,exact_from_collected,3.92827790913027,0.0,0.0,,,,,15|24|25|18|30
blinkit_dataset.csv,demand_index,demand_index,numeric,0,0,0.0,,n/a,False,0.0,100.0,43.38046153846158,38.0,exact_from_collected,27.0758936740511,0.0,258.0,,,,,73|25|100|15|6
blinkit_dataset.csv,date_added,date_added,datetime,0,0,0.0,,n/a,False,,,,,,,,,2023-01-11 00:00:00,2025-12-10 00:00:00,13000.0,0.0,2023-11-27|2024-08-07|2024-03-03|2024-07-04|2025-08-29
blinkit_dataset.csv,expiry_date,expiry_date,datetime,0,0,0.0,,n/a,False,,,,,,,,,2023-01-11 00:00:00,2030-12-07 00:00:00,13000.0,0.0,2024-06-26|2024-08-24|2028-03-05|2027-09-24|2025-07-02
blinkit_dataset.csv,offer_type,offer_type,categorical,6544,0,50.3385,4.0,exact_if_low_card_else_lower_bound,False,,,,,,,,,,,,,FreeDelivery|FlatDiscount
blinkit_dataset.csv,delivery_status,delivery_status,categorical,0,0,0.0,2.0,exact_if_low_card_else_lower_bound,False,,,,,,,,,,,,,On-Time|Delayed
