filename,column,normalized,missing_count,blank_count,unique_count,numeric_min,numeric_max,numeric_mean,numeric_median,numeric_median_note,date_min,date_max,date_invalid
blinkit_dataset.csv,product_id,product_id,0,0,13000.0,1.0,13000.0,6500.5,6500.5,EXACT,,,
blinkit_dataset.csv,product_name,product_name,0,0,,,,,,,,,
blinkit_dataset.csv,category,category,0,0,,,,,,,,,
blinkit_dataset.csv,brand,brand,0,0,,,,,,,,,
blinkit_dataset.csv,price,price,0,0,,10.18,999.93,267.3033561538475,220.24,EXACT,,,
blinkit_dataset.csv,discount_pct,discount_pct,0,0,,0.0,30.0,9.959230769230736,10.0,EXACT,,,
blinkit_dataset.csv,final_price,final_price,0,0,,8.14,998.92,240.7352115384605,197.185,EXACT,,,
blinkit_dataset.csv,rating,rating,0,0,,2.5,5.0,4.196930769230771,4.2,EXACT,,,
blinkit_dataset.csv,num_reviews,num_reviews,0,0,,1.0,1050.0,255.00030769230713,219.0,EXACT,,,
blinkit_dataset.csv,delivery_time_min,delivery_time_min,0,0,,10.0,56.0,27.55876923076921,27.0,EXACT,,,13000.0
blinkit_dataset.csv,city,city,0,0,,,,,,,,,
blinkit_dataset.csv,seller,seller,0,0,,,,,,,,,
blinkit_dataset.csv,stock,stock,0,0,,52.0,169.0,110.14053846153844,110.0,EXACT,,,
blinkit_dataset.csv,sold_quantity,sold_quantity,0,0,,0.0,720.0,162.40007692307694,120.0,EXACT,,,
blinkit_dataset.csv,profit_margin_pct,profit_margin_pct,0,0,,5.0,40.0,22.652707692307764,22.9,EXACT,,,
blinkit_dataset.csv,is_organic,is_organic,0,0,,,,,,,,,
blinkit_dataset.csv,packaging_type,packaging_type,0,0,,,,,,,,,
blinkit_dataset.csv,weight_g,weight_g,0,0,,100.0,2000.0,536.1307692307693,400.0,EXACT,,,
blinkit_dataset.csv,shelf_life_days,shelf_life_days,0,0,,2.0,1825.0,397.5553846153848,231.0,EXACT,,,
blinkit_dataset.csv,reorder_level,reorder_level,0,0,,10.0,33.0,21.627769230769303,22.0,EXACT,,,
blinkit_dataset.csv,demand_index,demand_index,0,0,,0.0,100.0,43.38046153846158,38.0,EXACT,,,
blinkit_dataset.csv,date_added,date_added,0,0,,,,,,,2023-10-28 00:00:00,2025-10-27 00:00:00,0.0
blinkit_dataset.csv,expiry_date,expiry_date,0,0,,,,,,,2023-10-30 00:00:00,2030-10-19 00:00:00,0.0
blinkit_dataset.csv,offer_type,offer_type,6544,0,,,,,,,,,
blinkit_dataset.csv,delivery_status,delivery_status,0,0,,,,,,,,,13000.0
ecommerce_delivery_analytics.csv,Order ID,order_id,0,0,100000.0,,,,,,,,
ecommerce_delivery_analytics.csv,Customer ID,customer_id,0,0,9000.0,,,,,,,,
ecommerce_delivery_analytics.csv,Platform,platform,0,0,,,,,,,,,
ecommerce_delivery_analytics.csv,Order Date & Time,order_date_time,0,0,,,,,,,2026-08-20 00:29:30,2026-08-20 23:29:30,60089.0
ecommerce_delivery_analytics.csv,Delivery Time (Minutes),delivery_time_minutes,0,0,,5.0,76.0,29.536139999999936,30.0,EXACT,,,100000.0
ecommerce_delivery_analytics.csv,Product Category,product_category,0,0,,,,,,,,,
ecommerce_delivery_analytics.csv,Order Value (INR),order_value_inr,0,0,,50.0,2000.0,590.9944000000086,481.0,EXACT,,,
ecommerce_delivery_analytics.csv,Customer Feedback,customer_feedback,0,0,,,,,,,,,
ecommerce_delivery_analytics.csv,Service Rating,service_rating,0,0,,1.0,5.0,3.2407900000000027,3.0,EXACT,,,
ecommerce_delivery_analytics.csv,Delivery Delay,delivery_delay,0,0,,,,,,,,,100000.0
ecommerce_delivery_analytics.csv,Refund Requested,refund_requested,0,0,,,,,,,,,100000.0
ecommerce_return_abuse_dataset.csv,order_id,order_id,0,0,60000.0,,,,,,,,
ecommerce_return_abuse_dataset.csv,customer_id,customer_id,0,0,58006.0,,,,,,,,
ecommerce_return_abuse_dataset.csv,age,age,0,0,,18.0,70.0,44.1053833333328,44.0,EXACT,,,
ecommerce_return_abuse_dataset.csv,account_age_days,account_age_days,0,0,,1.0,2500.0,1250.6877000000018,1251.0,EXACT,,,
ecommerce_return_abuse_dataset.csv,customer_segment,customer_segment,0,0,,,,,,,,,
ecommerce_return_abuse_dataset.csv,country,country,0,0,,,,,,,,,
ecommerce_return_abuse_dataset.csv,platform,platform,0,0,,,,,,,,,
ecommerce_return_abuse_dataset.csv,device_type,device_type,0,0,,,,,,,,,
ecommerce_return_abuse_dataset.csv,payment_method,payment_method,0,0,,,,,,,,,
ecommerce_return_abuse_dataset.csv,product_category,product_category,0,0,,,,,,,,,
ecommerce_return_abuse_dataset.csv,avg_order_value_usd,avg_order_value_usd,0,0,,15.0,799.96,188.98709799999767,165.115,EXACT,,,
ecommerce_return_abuse_dataset.csv,refund_amount_requested_usd,refund_amount_requested_usd,0,0,,12.12,836.68,176.19737133333314,150.51,EXACT,,,60000.0
ecommerce_return_abuse_dataset.csv,is_high_value_item,is_high_value_item,0,0,,0.0,1.0,0.3793000000000009,0.0,EXACT,,,
ecommerce_return_abuse_dataset.csv,discount_used,discount_used,0,0,,0.0,1.0,0.23865000000000083,0.0,EXACT,,,
ecommerce_return_abuse_dataset.csv,order_date,order_date,0,0,,,,,,,2022-01-01 00:00:00,2023-12-02 00:00:00,0.0
ecommerce_return_abuse_dataset.csv,return_date,return_date,0,0,,,,,,,2022-01-02 00:00:00,2024-12-01 00:00:00,30413.0
ecommerce_return_abuse_dataset.csv,days_to_return,days_to_return,0,0,,1.0,55.0,16.087550000000178,15.0,EXACT,,,60000.0
ecommerce_return_abuse_dataset.csv,return_reason,return_reason,0,0,,,,,,,,,60000.0
ecommerce_return_abuse_dataset.csv,total_orders_lifetime,total_orders_lifetime,0,0,,1.0,120.0,41.30455000000048,39.0,EXACT,,,60000.0
ecommerce_return_abuse_dataset.csv,total_returns_lifetime,total_returns_lifetime,0,0,,0.0,101.0,8.943850000000023,3.0,EXACT,,,60000.0
ecommerce_return_abuse_dataset.csv,return_rate_pct,return_rate_pct,0,0,,0.0,84.7,19.073006666666636,8.8,EXACT,,,60000.0
ecommerce_return_abuse_dataset.csv,item_returned_opened,item_returned_opened,0,0,,0.0,1.0,0.4169333333333356,0.0,EXACT,,,60000.0
ecommerce_return_abuse_dataset.csv,return_packaging_intact,return_packaging_intact,0,0,,0.0,1.0,0.7366499999999944,1.0,EXACT,,,60000.0
ecommerce_return_abuse_dataset.csv,photo_evidence_provided,photo_evidence_provided,0,0,,0.0,1.0,0.3794166666666628,0.0,EXACT,,,
ecommerce_return_abuse_dataset.csv,tracking_number_valid,tracking_number_valid,0,0,,0.0,1.0,0.9284999999999962,1.0,EXACT,,,
ecommerce_return_abuse_dataset.csv,shipping_carrier,shipping_carrier,0,0,,,,,,,,,
ecommerce_return_abuse_dataset.csv,address_change_before_delivery,address_change_before_delivery,0,0,,0.0,1.0,0.09345000000000088,0.0,EXACT,,,60000.0
ecommerce_return_abuse_dataset.csv,refund_to_different_account,refund_to_different_account,0,0,,0.0,1.0,0.04086666666666693,0.0,EXACT,,,
ecommerce_return_abuse_dataset.csv,multiple_accounts_flag,multiple_accounts_flag,0,0,,0.0,1.0,0.07835000000000018,0.0,EXACT,,,
ecommerce_return_abuse_dataset.csv,customer_support_contacts,customer_support_contacts,0,0,,0.0,6.0,1.3920000000000066,1.0,EXACT,,,
ecommerce_return_abuse_dataset.csv,previous_dispute_count,previous_dispute_count,0,0,,0.0,5.0,1.0980500000000148,1.0,EXACT,,,
ecommerce_return_abuse_dataset.csv,wishlist_to_cart_time_hrs,wishlist_to_cart_time_hrs,0,0,,0.1,72.0,30.16844499999994,28.4,EXACT,,,60000.0
ecommerce_return_abuse_dataset.csv,review_left_after_return,review_left_after_return,0,0,,0.0,1.0,0.24991666666666468,0.0,EXACT,,,60000.0
ecommerce_return_abuse_dataset.csv,abuse_type,abuse_type,0,0,,,,,,,,,
ecommerce_return_abuse_dataset.csv,abuse_label,abuse_label,0,0,,0.0,3.0,0.5553999999999989,0.0,EXACT,,,
final_new_cleaned_orders.csv,order_id,order_id,0,0,100000.0,,,,,,,,
final_new_cleaned_orders.csv,customer_id,customer_id,0,0,9000.0,,,,,,,,
final_new_cleaned_orders.csv,platform_name,platform_name,0,0,,,,,,,,,
final_new_cleaned_orders.csv,product_category_id,product_category_id,0,0,6.0,1.0,6.0,3.488570000000005,3.0,EXACT,,,
final_new_cleaned_orders.csv,order_datetime,order_datetime,0,0,,,,,,,2025-05-01 00:00:00,2025-05-17 23:59:00,0.0
final_new_cleaned_orders.csv,delivery_time_min,delivery_time_min,0,0,,5.0,76.0,13.352989999999945,13.0,EXACT,,,100000.0
final_new_cleaned_orders.csv,order_value_inr,order_value_inr,0,0,,19.0,5445.0,429.9553600000074,343.0,EXACT,,,
final_new_cleaned_orders.csv,delivery_delay,delivery_delay,0,0,,,,,,,,,100000.0
final_new_cleaned_orders.csv,refund_requested,refund_requested,0,0,,0.0,1.0,0.08871000000000057,0.0,EXACT,,,100000.0
final_new_cleaned_orders.csv,service_rating,service_rating,0,0,,1.0,5.0,3.965889999999976,4.0,EXACT,,,
final_new_cleaned_orders.csv,customer_feedback,customer_feedback,0,0,,,,,,,,,
final_new_cleaned_orders.csv,product_category_name,product_category_name,0,0,,,,,,,,,
final_new_cleaned_orders.csv,sla_delay,sla_delay,0,0,,,,,,,,,
final_new_cleaned_orders.csv,Segment,segment,0,0,,,,,,,,,
final_new_cleaned_orders.csv,hour,hour,0,0,,0.0,23.0,11.831499999999842,12.0,EXACT,,,
final_new_cleaned_orders.csv,weekday,weekday,0,0,,,,,,,,,
final_new_cleaned_orders.csv,date,date,0,0,,,,,,,2025-05-01 00:00:00,2025-05-17 00:00:00,0.0
final_new_cleaned_orders.csv,order_hour,order_hour,0,0,,0.0,23.0,12.33094999999988,12.0,EXACT,,,
Kaggle_Ecommerce Data.csv,order_id,order_id,0,0,34500.0,,,,,,,,
Kaggle_Ecommerce Data.csv,customer_id,customer_id,0,0,7903.0,,,,,,,,
Kaggle_Ecommerce Data.csv,product_id,product_id,0,0,24912.0,,,,,,,,
Kaggle_Ecommerce Data.csv,category,category,0,0,,,,,,,,,
Kaggle_Ecommerce Data.csv,price,price,0,0,,1.01,2930.47,119.39163246376869,45.66,EXACT,,,
Kaggle_Ecommerce Data.csv,discount,discount,0,0,,0.0,0.3,0.04929130434782639,0.0,EXACT,,,
Kaggle_Ecommerce Data.csv,quantity,quantity,0,0,,1.0,5.0,1.4907246376811731,1.0,EXACT,,,
Kaggle_Ecommerce Data.csv,payment_method,payment_method,0,0,,,,,,,,,
